OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
69478,53,011,040609,1400000US53011040609,53011040609,406.09,Clark,WA,Washing,"Census Tract 406.09, Clark County, Washington","4,913.00",238.00,"2,048.00",0.20,0.02,0.20,0.03,0.00,0.18,0.55,0.56,1.29,0.26,0.00,0.80,0.00,0.00,0.00,0.00,0.80,0.41,0.72,0.01,0.62,1.35,0.30,0.52,0.48,0.00,1.01,0.49,0.16,0.16,0.16,4.61,0.18,0.43,0.43,0.43,0.02,0.13,0.50,0.03,0.03,0.02,0.00,0.73,0.02,0.14,0.97,0.08,0.44,1.63,0.21,0.00,0.00,0.00,0.00,2.79,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.36,0.44,32.47,0.00,92.12,0.00,0.00,0.00,0.00,17.09,1.94,7.67,39.96,48.00,0.00,2.55,24.10,3.20,3.30,4.80,2.00,10.50,0.70,0.50,9.00,34.00,6.20,1.00,0.00,0.00,22.80,8.70,5.70,9.70,6.20,0.07,0.21,0.29,0.05,0.07,"9,115.13","3,243,612.67"
69479,53,011,040610,1400000US53011040610,53011040610,406.10,Clark,WA,Washing,"Census Tract 406.10, Clark County, Washington","3,698.00",211.00,"1,385.00",0.12,0.01,0.12,0.01,0.00,0.16,0.44,0.52,1.13,0.20,0.00,0.55,0.00,0.00,0.00,0.00,0.55,0.29,0.54,0.10,0.66,1.31,0.27,0.37,0.18,0.00,0.55,0.19,0.49,0.49,0.49,4.02,0.09,0.33,0.33,0.33,0.03,0.02,0.30,0.04,0.05,0.05,0.01,0.50,0.01,0.22,0.93,0.07,0.49,1.71,0.27,0.50,0.00,0.50,0.24,3.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.22,0.36,31.65,0.00,23.50,0.00,0.00,0.00,0.00,68.14,17.86,7.17,13.68,0.57,0.00,45.56,17.30,5.62,0.90,3.40,2.10,12.78,1.30,1.40,10.80,30.90,6.00,1.30,0.70,0.00,24.20,8.70,6.30,9.50,6.70,0.11,0.21,0.41,0.07,0.06,"8,999.67","3,021,325.32"
69480,53,011,040703,1400000US53011040703,53011040703,407.03,Clark,WA,Washing,"Census Tract 407.03, Clark County, Washington","6,374.00",453.00,"5,984.00",0.76,0.21,0.56,0.18,0.00,0.20,0.64,0.60,1.44,0.31,0.00,0.76,0.00,0.00,0.00,0.00,0.76,0.39,0.41,0.22,0.27,0.90,0.05,0.36,0.44,0.00,0.80,0.40,0.15,0.15,0.15,4.05,0.10,0.38,0.38,0.38,0.53,0.38,0.56,0.19,0.69,0.45,0.37,3.17,0.43,0.25,0.66,0.25,0.46,1.63,0.21,0.77,0.64,1.41,0.83,6.59,0.46,0.00,1.00,0.00,0.00,0.00,1.00,0.20,0.00,7.51,0.52,33.40,0.00,80.82,0.00,0.00,0.00,0.00,99.04,35.36,12.96,12.89,39.14,0.00,1.75,20.70,31.38,7.50,5.30,5.70,32.88,6.30,13.00,11.30,24.40,9.10,1.10,8.60,0.70,27.10,10.40,6.00,14.40,8.50,0.22,0.67,0.35,0.22,0.55,"9,235.35","4,831,877.14"
69481,53,011,040706,1400000US53011040706,53011040706,407.06,Clark,WA,Washing,"Census Tract 407.06, Clark County, Washington","3,890.00",336.00,"3,359.00",1.12,0.42,0.72,0.29,0.00,0.19,0.63,0.59,1.42,0.30,0.00,0.82,0.00,0.00,0.00,0.00,0.82,0.42,0.58,0.18,0.08,0.85,0.04,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.37,3.46,0.04,0.37,0.37,0.37,0.81,0.52,0.79,0.54,0.80,0.57,0.28,4.31,0.68,0.14,0.71,0.37,0.79,2.01,0.50,0.81,0.45,1.26,0.76,7.95,0.68,0.00,1.00,0.00,1.00,0.00,2.00,0.40,0.00,7.47,0.51,33.13,0.00,95.11,0.00,0.00,0.00,0.00,54.11,30.53,15.33,0.00,0.00,0.00,29.21,19.80,48.84,10.30,8.00,12.80,38.28,8.10,10.60,9.00,25.20,10.60,5.90,11.70,0.20,28.30,11.30,5.30,17.30,9.90,0.29,0.84,0.22,0.40,0.82,"6,961.14","1,898,160.58"
69482,53,011,040707,1400000US53011040707,53011040707,407.07,Clark,WA,Washing,"Census Tract 407.07, Clark County, Washington","3,349.00",361.00,"2,477.00",0.62,0.15,0.42,0.11,0.00,0.19,0.57,0.57,1.33,0.27,0.00,0.70,0.00,0.00,0.00,0.00,0.70,0.36,0.41,0.42,0.22,1.05,0.11,0.00,0.00,0.00,0.00,0.00,0.39,0.39,0.39,3.47,0.04,0.20,0.20,0.20,0.35,0.60,0.33,0.23,0.47,0.21,0.19,2.37,0.26,0.21,0.65,0.69,0.56,2.12,0.60,0.76,0.67,1.43,0.84,6.12,0.38,0.00,1.00,0.00,0.00,0.00,1.00,0.20,0.00,7.40,0.46,32.79,0.00,62.58,0.00,0.00,0.00,0.00,98.63,54.62,13.56,0.00,0.00,0.00,30.86,9.90,22.94,12.20,3.60,6.30,25.33,3.40,7.90,10.60,24.20,15.30,1.80,8.20,0.90,27.90,10.80,5.90,15.40,9.10,0.26,0.76,0.33,0.29,0.66,"7,646.12","1,665,095.09"
69483,53,011,040709,1400000US53011040709,53011040709,407.09,Clark,WA,Washing,"Census Tract 407.09, Clark County, Washington","5,008.00",455.00,"6,923.00",0.44,0.07,0.44,0.12,0.00,0.17,0.47,0.55,1.20,0.22,0.00,0.62,0.00,0.00,0.00,0.00,0.62,0.32,0.72,0.09,0.65,1.46,0.41,0.72,0.00,0.00,0.72,0.29,0.22,0.22,0.22,4.23,0.12,0.39,0.39,0.39,0.53,0.36,0.36,0.19,0.60,0.29,0.05,2.38,0.26,0.41,0.95,0.22,0.71,2.28,0.73,0.67,0.00,0.67,0.38,5.72,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.31,0.38,32.23,0.00,40.56,0.00,0.00,0.00,0.00,16.76,16.18,7.33,89.82,0.00,0.00,9.36,20.90,31.24,7.20,3.80,5.60,29.53,4.40,3.70,14.20,32.00,8.60,3.70,3.60,0.00,27.00,10.30,5.70,14.30,8.40,0.22,0.65,0.29,0.21,0.54,"17,440.77","11,622,112.60"
69484,53,011,040710,1400000US53011040710,53011040710,407.10,Clark,WA,Washing,"Census Tract 407.10, Clark County, Washington","8,797.00",689.00,"3,143.00",0.75,0.21,0.55,0.18,0.00,0.14,0.36,0.47,0.97,0.16,0.00,0.54,0.00,0.00,0.83,0.00,1.36,0.63,0.67,0.14,0.65,1.46,0.40,0.55,0.00,0.00,0.55,0.19,0.45,0.45,0.45,4.80,0.21,0.32,0.32,0.32,0.31,0.29,0.55,0.45,0.53,0.39,0.13,2.64,0.31,0.29,0.72,0.25,0.44,1.71,0.26,0.72,0.45,1.16,0.72,5.83,0.34,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.11,0.30,30.47,0.00,20.52,0.00,0.00,0.17,0.00,28.61,23.60,7.28,46.63,0.00,0.00,40.57,16.40,20.57,5.90,5.20,10.50,27.08,5.50,6.50,12.10,25.40,9.10,1.00,5.90,0.20,29.20,9.90,7.50,12.30,9.00,0.34,0.54,0.69,0.28,0.30,"24,072.18","27,769,727.28"
69485,53,011,040711,1400000US53011040711,53011040711,407.11,Clark,WA,Washing,"Census Tract 407.11, Clark County, Washington","3,257.00",287.00,"3,555.00",0.86,0.27,0.46,0.13,0.00,0.18,0.57,0.56,1.32,0.27,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.14,0.23,0.75,0.02,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.28,3.22,0.03,0.56,0.56,0.56,0.48,0.50,0.63,0.52,0.82,0.52,0.09,3.55,0.51,0.12,0.84,0.19,0.58,1.72,0.27,0.00,0.59,0.59,0.32,6.42,0.43,0.00,1.00,0.00,1.00,0.00,2.00,0.40,0.00,7.39,0.46,32.57,0.00,100.00,0.00,0.00,0.00,0.00,100.00,23.56,13.42,0.00,0.00,0.00,17.31,35.10,28.98,9.80,5.90,12.20,39.53,7.30,5.00,8.40,27.80,8.10,2.00,0.00,0.50,24.90,10.90,5.00,15.80,8.40,0.13,0.77,0.18,0.21,0.70,"5,696.52","2,000,498.42"
69486,53,011,040712,1400000US53011040712,53011040712,407.12,Clark,WA,Washing,"Census Tract 407.12, Clark County, Washington","6,184.00",405.00,"2,342.00",0.30,0.03,0.30,0.06,0.00,0.17,0.46,0.55,1.18,0.22,0.00,0.47,0.00,0.00,0.00,0.00,0.47,0.26,0.39,0.05,0.44,0.87,0.05,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,3.02,0.02,0.45,0.45,0.45,0.29,0.39,0.39,0.15,0.41,0.23,0.07,1.92,0.18,0.16,0.84,0.19,0.68,1.86,0.38,0.56,0.66,1.22,0.74,5.45,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.28,0.37,32.28,0.00,10.08,0.00,0.00,0.00,0.00,100.00,6.85,10.13,0.00,0.00,0.00,47.52,25.60,19.58,7.70,4.00,4.90,23.66,3.70,4.30,9.40,27.70,8.20,3.20,1.30,0.80,24.90,10.10,5.30,13.90,7.50,0.13,0.60,0.22,0.12,0.49,"7,460.96","2,908,728.43"
69487,53,011,040803,1400000US53011040803,53011040803,408.03,Clark,WA,Washing,"Census Tract 408.03, Clark County, Washington","5,229.00",333.00,"3,276.00",0.39,0.06,0.39,0.09,0.00,0.20,0.69,0.61,1.50,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.33,0.42,1.18,0.17,0.38,0.77,0.00,1.15,0.55,0.00,0.00,0.00,3.83,0.07,0.38,0.38,0.38,0.30,0.24,0.52,0.31,0.31,0.49,0.17,2.35,0.25,0.46,0.53,0.23,0.61,1.83,0.35,0.61,0.55,1.17,0.72,5.72,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.54,0.57,33.55,0.00,0.00,0.00,0.00,0.00,0.00,96.46,46.53,10.50,15.21,100.00,0.00,0.00,20.10,20.29,5.20,5.00,7.90,20.99,6.90,7.50,15.10,22.50,8.70,2.30,2.10,0.40,27.50,9.50,6.90,11.50,8.10,0.24,0.43,0.54,0.17,0.22,"8,569.73","3,781,482.13"
69488,53,011,040805,1400000US53011040805,53011040805,408.05,Clark,WA,Washing,"Census Tract 408.05, Clark County, Washington","6,981.00",451.00,"3,791.00",0.52,0.11,0.32,0.07,0.00,0.19,0.60,0.58,1.37,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.16,0.79,1.59,0.52,0.52,0.51,0.00,1.03,0.50,0.00,0.00,0.00,3.98,0.09,0.24,0.24,0.24,0.15,0.11,0.42,0.23,0.10,0.19,0.14,1.34,0.09,0.74,0.53,0.59,0.48,2.34,0.77,0.68,0.51,1.19,0.73,5.12,0.23,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.43,0.48,32.87,0.00,0.00,0.00,0.00,0.00,0.00,37.28,27.45,5.79,39.68,53.64,0.00,0.00,12.10,13.04,2.90,4.20,6.40,14.72,3.20,6.70,19.90,22.50,13.70,1.20,4.30,0.30,30.30,9.80,7.60,11.70,9.10,0.40,0.52,0.71,0.29,0.24,"16,492.23","12,846,129.51"
69489,53,011,040806,1400000US53011040806,53011040806,408.06,Clark,WA,Washing,"Census Tract 408.06, Clark County, Washington","4,748.00",231.00,"2,630.00",0.40,0.06,0.40,0.10,0.00,0.20,0.61,0.60,1.41,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.28,0.60,1.66,0.58,0.70,0.67,0.00,1.38,0.66,0.00,0.00,0.00,4.44,0.15,0.33,0.33,0.33,0.22,0.44,0.46,0.07,0.58,0.38,0.20,2.35,0.25,0.37,0.62,0.28,0.61,1.88,0.39,0.00,0.66,0.66,0.37,5.22,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.51,0.49,33.35,0.00,0.00,0.00,0.00,0.00,0.00,8.28,42.23,7.83,85.87,89.54,0.00,0.00,17.40,16.56,8.60,4.50,3.10,28.70,5.40,8.40,13.50,23.70,9.40,2.30,0.00,0.80,26.70,9.90,6.30,12.80,7.90,0.20,0.54,0.41,0.15,0.36,"7,880.30","3,503,253.88"
69490,53,011,040808,1400000US53011040808,53011040808,408.08,Clark,WA,Washing,"Census Tract 408.08, Clark County, Washington","1,804.00",135.00,"3,817.00",0.88,0.28,0.88,0.41,0.00,0.21,0.68,0.59,1.48,0.33,0.98,0.69,0.00,0.00,0.00,0.00,1.68,0.75,0.71,0.36,0.24,1.31,0.27,0.77,0.70,0.00,1.47,0.72,0.00,0.00,0.00,5.94,0.47,0.40,0.40,0.40,0.34,0.24,0.24,0.32,0.55,0.76,0.18,2.62,0.31,0.36,0.47,0.70,0.81,2.35,0.78,0.93,0.00,0.93,0.59,6.30,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.57,0.56,33.18,55.05,60.45,0.00,0.00,0.00,0.00,18.38,49.25,13.33,99.04,94.11,0.00,0.00,21.50,22.01,5.10,3.00,8.00,27.63,12.20,7.80,13.40,21.70,15.50,6.70,25.40,0.00,29.50,10.20,6.90,13.30,8.70,0.36,0.62,0.54,0.24,0.42,"9,053.70","3,671,615.97"
69491,53,011,040809,1400000US53011040809,53011040809,408.09,Clark,WA,Washing,"Census Tract 408.09, Clark County, Washington","5,804.00",450.00,"2,671.00",0.60,0.14,0.60,0.21,0.00,0.21,0.75,0.60,1.56,0.36,0.97,0.59,0.00,0.00,0.00,0.00,1.55,0.70,0.39,0.10,0.23,0.72,0.02,0.54,0.67,0.00,1.21,0.58,0.00,0.00,0.00,5.04,0.26,0.48,0.48,0.48,0.29,0.53,0.13,0.48,0.51,0.31,0.14,2.40,0.26,0.20,0.71,0.29,0.62,1.82,0.34,0.70,0.45,1.14,0.71,5.83,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.61,0.63,33.32,24.55,30.93,0.00,0.00,0.00,0.00,100.00,18.15,13.42,44.74,88.70,0.00,0.00,27.80,19.76,10.60,2.20,11.20,26.62,4.60,6.60,10.30,25.10,9.60,2.40,4.80,0.20,24.40,9.90,5.10,13.00,7.10,0.11,0.54,0.19,0.09,0.39,"7,311.00","2,291,030.54"
69492,53,011,040810,1400000US53011040810,53011040810,408.10,Clark,WA,Washing,"Census Tract 408.10, Clark County, Washington","3,471.00",286.00,"2,502.00",0.68,0.18,0.68,0.26,0.00,0.22,0.77,0.60,1.59,0.38,0.98,0.66,0.00,0.00,0.00,0.00,1.63,0.73,0.39,0.19,0.31,0.89,0.05,0.64,0.49,0.00,1.14,0.55,0.00,0.00,0.00,5.24,0.30,0.55,0.55,0.55,0.31,0.52,0.44,0.48,0.66,0.41,0.05,2.86,0.36,0.17,0.74,0.50,0.62,2.03,0.52,0.64,0.00,0.64,0.36,6.08,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.65,0.66,33.37,41.92,49.04,0.00,0.00,0.00,0.00,100.00,31.35,12.42,70.50,50.28,0.00,0.00,34.20,20.74,10.20,4.40,11.20,31.58,5.80,3.50,9.80,25.60,12.40,2.40,2.70,0.00,26.70,10.30,6.10,13.60,8.20,0.20,0.65,0.37,0.18,0.46,"7,205.19","2,241,402.92"
69493,53,011,040904,1400000US53011040904,53011040904,409.04,Clark,WA,Washing,"Census Tract 409.04, Clark County, Washington","6,697.00",475.00,"4,027.00",0.81,0.24,0.61,0.21,0.00,0.21,0.69,0.54,1.43,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.33,0.27,0.98,0.08,0.00,0.64,0.00,0.64,0.24,0.00,0.00,0.00,3.05,0.02,0.40,0.40,0.40,0.57,0.47,0.75,0.70,0.85,0.24,0.27,3.85,0.58,0.57,0.59,0.57,0.32,2.05,0.54,0.63,0.45,1.08,0.69,7.37,0.59,0.00,1.00,0.00,0.00,0.00,1.00,0.20,0.00,7.56,0.57,31.90,0.00,0.00,0.00,0.00,0.00,0.00,100.00,46.48,12.96,0.00,81.68,0.00,0.00,21.50,33.49,9.30,7.30,17.30,41.83,3.80,10.20,16.80,23.30,13.40,0.50,2.50,0.20,30.10,10.60,6.60,14.10,9.50,0.39,0.72,0.47,0.34,0.52,"9,967.80","4,258,660.74"
69494,53,011,040905,1400000US53011040905,53011040905,409.05,Clark,WA,Washing,"Census Tract 409.05, Clark County, Washington","3,335.00",249.00,"2,241.00",0.52,0.11,0.32,0.07,0.00,0.17,0.38,0.41,0.97,0.16,0.00,0.58,0.00,0.00,0.00,0.00,0.58,0.30,0.54,0.29,0.82,1.65,0.57,0.47,0.32,0.00,0.79,0.37,0.16,0.16,0.16,4.14,0.11,0.22,0.22,0.22,0.30,0.42,0.26,0.23,0.10,0.18,0.01,1.50,0.11,0.82,0.41,0.41,0.19,1.84,0.35,0.78,0.66,1.44,0.84,4.98,0.22,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.31,0.32,29.14,0.00,29.02,0.00,0.00,0.00,0.00,67.65,42.77,5.50,29.29,18.76,0.00,2.71,10.70,20.16,8.30,3.10,6.40,14.73,3.10,1.20,21.90,20.80,11.20,0.10,9.40,0.80,30.90,9.90,8.10,11.70,9.40,0.44,0.54,0.82,0.33,0.24,"24,649.25","26,352,657.15"
69495,53,011,040907,1400000US53011040907,53011040907,409.07,Clark,WA,Washing,"Census Tract 409.07, Clark County, Washington","6,052.00",427.00,"2,434.00",0.09,0.00,0.09,0.01,0.00,0.20,0.44,0.42,1.07,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.10,0.62,1.38,0.33,0.75,0.00,0.00,0.75,0.31,0.14,0.14,0.14,3.34,0.03,0.29,0.29,0.29,0.03,0.04,0.13,0.05,0.02,0.22,0.03,0.53,0.01,0.42,0.84,0.19,0.21,1.66,0.23,0.46,0.55,1.01,0.67,3.49,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.51,0.36,29.32,0.00,0.00,0.00,0.00,0.00,0.00,32.20,16.64,7.58,96.18,0.00,0.00,1.35,14.70,4.85,1.40,2.20,2.60,9.65,3.60,2.90,14.40,27.90,8.10,0.20,0.50,0.40,25.80,9.10,7.00,10.00,7.20,0.16,0.31,0.56,0.10,0.09,"11,905.09","5,824,443.10"
69496,53,011,040908,1400000US53011040908,53011040908,409.08,Clark,WA,Washing,"Census Tract 409.08, Clark County, Washington","6,870.00",527.00,"3,961.00",0.30,0.04,0.30,0.06,0.00,0.21,0.62,0.47,1.30,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.36,0.37,1.15,0.15,0.55,0.23,0.00,0.77,0.36,0.14,0.14,0.14,3.36,0.03,0.31,0.31,0.31,0.28,0.31,0.44,0.10,0.46,0.33,0.02,1.94,0.18,0.62,0.83,0.31,0.44,2.20,0.66,0.46,0.45,0.90,0.56,5.34,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.57,0.50,30.39,0.00,0.00,0.00,0.00,0.00,0.00,97.35,49.10,11.50,46.05,6.28,0.00,0.78,16.00,19.24,6.30,4.40,3.80,25.04,4.80,1.90,17.70,27.50,9.80,1.00,0.50,0.20,28.10,9.50,7.30,11.10,8.10,0.27,0.43,0.64,0.17,0.18,"8,877.63","4,381,926.35"
69497,53,011,040909,1400000US53011040909,53011040909,409.09,Clark,WA,Washing,"Census Tract 409.09, Clark County, Washington","5,192.00",253.00,"3,519.00",0.42,0.07,0.22,0.03,0.00,0.20,0.57,0.44,1.21,0.23,0.00,0.63,0.00,0.00,0.00,0.00,0.63,0.32,0.47,0.15,0.44,1.07,0.11,0.00,0.52,0.00,0.52,0.17,0.12,0.12,0.12,3.55,0.05,0.21,0.21,0.21,0.10,0.09,0.19,0.24,0.31,0.15,0.07,1.15,0.07,0.88,0.24,0.72,0.35,2.18,0.65,0.62,0.51,1.12,0.71,4.67,0.18,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.48,0.46,29.77,0.00,41.88,0.00,0.00,0.00,0.00,87.08,25.70,10.11,0.00,54.69,0.00,0.11,10.40,10.39,2.50,2.60,6.50,21.10,2.70,4.50,23.60,18.00,15.90,0.60,2.20,0.30,29.70,9.50,8.40,10.70,8.90,0.37,0.43,0.87,0.27,0.14,"11,994.58","4,195,356.28"
69498,53,011,040910,1400000US53011040910,53011040910,409.10,Clark,WA,Washing,"Census Tract 409.10, Clark County, Washington","4,638.00",213.00,"5,960.00",0.34,0.04,0.34,0.07,0.00,0.18,0.51,0.44,1.13,0.20,0.00,0.70,0.00,0.00,0.00,0.00,0.70,0.36,0.48,0.08,0.33,0.90,0.05,0.00,0.64,0.00,0.64,0.24,0.15,0.15,0.15,3.52,0.04,0.44,0.44,0.44,0.28,0.16,0.50,0.30,0.23,0.52,0.06,2.06,0.20,0.25,0.87,0.10,0.49,1.72,0.27,0.80,0.51,1.31,0.78,5.53,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.39,0.41,29.57,0.00,61.91,0.00,0.00,0.00,0.00,85.85,14.03,12.08,0.00,81.66,0.00,2.22,25.10,19.30,3.80,4.80,7.70,19.03,7.40,4.00,11.30,28.80,6.70,1.30,10.70,0.30,26.10,9.70,6.20,12.20,7.70,0.18,0.49,0.39,0.14,0.29,"12,282.29","6,965,220.44"
69499,53,011,041003,1400000US53011041003,53011041003,410.03,Clark,WA,Washing,"Census Tract 410.03, Clark County, Washington","4,000.00",262.00,"2,035.00",1.32,0.53,1.12,0.61,0.00,0.24,0.83,0.58,1.65,0.41,0.97,0.79,0.96,0.00,0.00,0.00,2.72,0.95,0.39,0.63,0.47,1.49,0.43,0.79,0.61,0.00,1.40,0.68,0.36,0.36,0.36,7.63,0.81,0.29,0.29,0.29,0.16,0.22,0.08,0.31,0.43,0.42,0.23,1.85,0.17,0.79,0.32,0.62,0.48,2.21,0.67,0.44,0.84,1.28,0.76,5.62,0.31,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.81,0.75,32.96,31.21,88.15,31.21,0.00,0.00,0.00,100.00,72.23,9.54,100.00,76.34,0.00,28.14,14.50,13.38,4.80,1.70,7.90,24.33,5.90,9.10,21.00,19.50,14.10,1.20,0.40,2.90,29.90,9.80,8.00,11.90,8.90,0.38,0.52,0.80,0.27,0.26,"9,135.94","3,431,016.99"
69500,53,011,041005,1400000US53011041005,53011041005,410.05,Clark,WA,Washing,"Census Tract 410.05, Clark County, Washington","2,403.00",211.00,"6,056.00",1.81,0.75,1.41,0.79,0.00,0.21,0.59,0.54,1.34,0.27,0.95,0.58,0.00,0.80,0.94,0.00,3.26,0.98,0.49,0.51,0.50,1.49,0.44,0.61,0.18,0.00,0.78,0.37,0.16,0.16,0.16,7.03,0.71,0.59,0.59,0.59,0.82,0.62,0.19,0.75,0.87,0.54,0.48,4.27,0.67,0.14,0.79,0.65,0.86,2.44,0.83,0.82,0.00,0.82,0.49,8.11,0.71,0.00,1.00,0.00,1.00,0.00,2.00,0.40,0.00,7.62,0.47,31.99,10.45,28.29,0.00,13.97,12.90,0.00,84.31,62.10,9.17,60.41,0.36,0.00,2.51,38.20,49.87,12.70,2.60,19.40,43.28,7.70,15.90,9.10,26.70,14.60,8.90,12.00,0.00,28.80,12.00,5.20,18.80,10.00,0.31,0.90,0.21,0.41,0.90,"44,256.43","58,540,772.94"
69501,53,011,041007,1400000US53011041007,53011041007,410.07,Clark,WA,Washing,"Census Tract 410.07, Clark County, Washington","3,517.00",260.00,"2,702.00",1.40,0.57,1.20,0.66,0.00,0.23,0.81,0.59,1.63,0.40,0.97,0.63,0.96,0.00,0.00,0.00,2.56,0.92,0.39,0.55,0.21,1.14,0.15,0.79,0.68,0.00,1.47,0.72,0.26,0.26,0.26,7.07,0.71,0.43,0.43,0.43,0.49,0.52,0.29,0.64,0.60,0.35,0.42,3.30,0.45,0.55,0.55,0.64,0.59,2.33,0.77,0.67,0.00,0.67,0.38,6.74,0.48,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.73,0.72,33.11,29.10,41.57,29.10,0.00,0.00,0.00,100.00,65.95,13.72,100.00,90.30,0.00,14.74,24.30,29.29,10.20,3.30,15.50,29.50,5.10,14.10,16.50,22.70,14.50,2.10,3.70,0.00,32.50,10.30,7.70,13.30,10.30,0.54,0.65,0.73,0.45,0.42,"6,385.51","1,951,982.26"
69502,53,011,041008,1400000US53011041008,53011041008,410.08,Clark,WA,Washing,"Census Tract 410.08, Clark County, Washington","4,429.00",421.00,"2,465.00",0.53,0.11,0.33,0.07,0.00,0.22,0.76,0.55,1.53,0.35,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.20,0.41,0.50,0.45,1.36,0.31,0.77,0.36,0.00,1.14,0.55,0.15,0.15,0.15,4.47,0.16,0.40,0.40,0.40,0.27,0.22,0.44,0.15,0.24,0.22,0.08,1.63,0.13,0.72,0.78,0.67,0.00,2.16,0.64,0.00,0.45,0.45,0.20,4.64,0.17,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.66,0.64,32.33,0.00,0.32,0.00,0.00,0.00,0.00,99.12,61.43,9.89,99.10,25.77,0.00,1.77,22.10,18.67,4.80,4.40,5.00,19.22,3.60,4.70,19.40,26.40,14.90,0.00,0.00,0.20,31.10,9.40,8.30,10.60,9.10,0.45,0.40,0.85,0.29,0.13,"6,715.61","2,565,207.06"
